	b	se	t	pvalue	ll	ul	df	crit	eform	
woman:51._at	-1.3366905	 .23392687	-5.7141384	 1.116e-08	 -1.795202	-.87817906	     23897	 1.9600633	         0	
woman:52._at	-1.3154073	 .22726199	-5.7880654	 7.209e-09	-1.7608552	 -.8699594	     23897	 1.9600633	         0	
woman:53._at	 -1.294124	 .22069077	-5.8639698	 4.579e-09	-1.7266919	-.86155615	     23897	 1.9600633	         0	
woman:54._at	-1.2728408	 .21422183	-5.9416949	 2.860e-09	-1.6927291	-.85295243	     23897	 1.9600633	         0	
woman:55._at	-1.2515575	 .20786472	-6.0210194	 1.759e-09	-1.6589855	-.84412952	     23897	 1.9600633	         0	
woman:56._at	-1.2302743	 .20163002	-6.1016423	 1.066e-09	-1.6254819	-.83506668	     23897	 1.9600633	         0	
woman:57._at	 -1.208991	 .19552944	-6.1831663	 6.385e-10	-1.5922411	-.82574096	     23897	 1.9600633	         0	
woman:58._at	-1.1877078	 .18957592	-6.2650772	 3.790e-10	-1.5592886	-.81612698	     23897	 1.9600633	         0	
woman:59._at	-1.1664245	 .18378376	-6.3467225	 2.239e-10	-1.5266523	-.80619673	     23897	 1.9600633	         0	
woman:60._at	-1.1451413	  .1781687	-6.4272866	 1.324e-10	-1.4943632	-.79591937	     23897	 1.9600633	         0	
woman:61._at	 -1.123858	   .172748	-6.5057658	 7.883e-11	 -1.462455	-.78526103	     23897	 1.9600633	         0	
woman:62._at	-1.1025748	 .16754054	-6.5809434	 4.772e-11	-1.4309648	-.77418474	     23897	 1.9600633	         0	
woman:63._at	-1.0812915	  .1625668	-6.6513676	 2.967e-11	-1.3999327	-.76265033	     23897	 1.9600633	         0	
woman:64._at	-1.0600083	 .15784888	-6.7153361	 1.918e-11	-1.3694021	 -.7506145	     23897	 1.9600633	         0	
woman:65._at	 -1.038725	 .15341039	-6.7708911	 1.310e-11	-1.3394191	-.73803097	     23897	 1.9600633	         0	
woman:66._at	-1.0174418	 .14927625	-6.8158317	 9.595e-12	-1.3100327	 -.7248509	     23897	 1.9600633	         0	
woman:67._at	-.99615854	 .14547241	-6.8477489	 7.684e-12	-1.2812937	-.71102342	     23897	 1.9600633	         0	
woman:68._at	-.97487529	 .14202542	-6.8640904	 6.855e-12	-1.2532541	-.69649649	     23897	 1.9600633	         0	
woman:69._at	-.95359205	 .13896182	-6.8622591	 6.944e-12	 -1.225966	-.68121808	     23897	 1.9600633	         0	
woman:70._at	 -.9323088	 .13630749	-6.8397475	 8.125e-12	-1.1994801	 -.6651375	     23897	 1.9600633	         0	
woman:71._at	-.91102555	 .13408671	-6.7943015	 1.114e-11	 -1.173844	-.64820711	     23897	 1.9600633	         0	
woman:72._at	 -.8897423	 .13232133	-6.7241034	 1.807e-11	-1.1491005	-.63038412	     23897	 1.9600633	         0	
woman:73._at	-.86845905	 .13102975	-6.6279533	 3.476e-11	-1.1252856	-.61163245	     23897	 1.9600633	         0	
woman:74._at	 -.8471758	 .13022607	-6.5054241	 7.901e-11	-1.1024271	-.59192447	     23897	 1.9600633	         0	
woman:75._at	-.82589255	 .12991934	-6.3569638	 2.095e-10	-1.0805427	-.57124242	     23897	 1.9600633	         0	
