	b	se	z	pvalue	ll	ul	df	crit	eform	
woman:60._at	-.02672076	 .00734793	-3.6365011	 .00027637	-.04112245	-.01231908	         .	  1.959964	         0	
woman:61._at	-.02622257	 .00714874	-3.6681364	 .00024432	-.04023385	-.01221129	         .	  1.959964	         0	
woman:62._at	-.02572176	 .00695461	-3.6985203	 .00021686	-.03935255	-.01209098	         .	  1.959964	         0	
woman:63._at	-.02521836	 .00676615	-3.7271357	 .00019367	-.03847978	-.01195695	         .	  1.959964	         0	
woman:64._at	-.02471238	 .00658405	-3.7533703	 .00017447	-.03761688	-.01180788	         .	  1.959964	         0	
woman:65._at	-.02420381	 .00640904	-3.7765085	 .00015904	-.03676531	-.01164231	         .	  1.959964	         0	
woman:66._at	-.02369267	 .00624193	-3.7957252	 .00014721	-.03592664	 -.0114587	         .	  1.959964	         0	
woman:67._at	-.02317896	 .00608358	-3.8100851	 .00013892	-.03510256	-.01125536	         .	  1.959964	         0	
woman:68._at	-.02266269	  .0059349	-3.8185477	 .00013424	-.03429488	-.01103051	         .	  1.959964	         0	
woman:69._at	-.02214388	 .00579685	-3.8199824	 .00013346	 -.0335055	-.01078225	         .	  1.959964	         0	
woman:70._at	-.02162252	 .00567045	-3.8131949	 .00013718	-.03273639	-.01050865	         .	  1.959964	         0	
woman:71._at	-.02109863	  .0055567	-3.7969676	 .00014648	-.03198957	-.01020769	         .	  1.959964	         0	
woman:72._at	-.02057221	 .00545665	-3.7701149	 .00016317	-.03126705	-.00987737	         .	  1.959964	         0	
woman:73._at	-.02004327	  .0053713	-3.7315521	  .0001903	-.03057082	-.00951573	         .	  1.959964	         0	
woman:74._at	-.01951183	 .00530159	-3.6803747	 .00023289	-.02990275	-.00912091	         .	  1.959964	         0	
woman:75._at	-.01897789	  .0052484	 -3.615941	 .00029926	-.02926455	-.00869122	         .	  1.959964	         0	
woman:76._at	-.01844145	 .00521247	-3.5379484	 .00040325	-.02865771	 -.0082252	         .	  1.959964	         0	
woman:77._at	-.01790254	 .00519442	-3.4464931	 .00056791	-.02808342	-.00772166	         .	  1.959964	         0	
woman:78._at	-.01736115	 .00519468	-3.3421013	 .00083147	-.02754254	-.00717976	         .	  1.959964	         0	
woman:79._at	-.01681731	  .0052135	-3.2257255	 .00125654	-.02703557	-.00659904	         .	  1.959964	         0	
woman:80._at	  -.016271	 .00525091	-3.0987027	  .0019437	-.02656259	-.00597941	         .	  1.959964	         0	
woman:81._at	-.01572226	 .00530677	-2.9626797	 .00304974	-.02612333	-.00532118	         .	  1.959964	         0	
woman:82._at	-.01517108	 .00538074	-2.8195133	 .00480965	-.02571714	-.00462501	         .	  1.959964	         0	
woman:83._at	-.01461747	 .00547233	-2.6711601	 .00755896	-.02534305	 -.0038919	         .	  1.959964	         0	
woman:84._at	-.01406145	  .0055809	-2.5195691	 .01174986	-.02499981	 -.0031231	         .	  1.959964	         0	
woman:85._at	-.01350303	  .0057057	-2.3665883	 .01795289	-.02468599	-.00232007	         .	  1.959964	         0	
woman:86._at	-.01294221	 .00584591	-2.2138931	 .02683613	-.02439998	-.00148445	         .	  1.959964	         0	
woman:87._at	-.01237901	 .00600067	-2.0629395	 .03911837	 -.0241401	-.00061792	         .	  1.959964	         0	
woman:88._at	-.01181344	 .00616909	-1.9149411	 .05550002	-.02390462	 .00027775	         .	  1.959964	         0	
woman:89._at	 -.0112455	 .00635028	 -1.770866	 .07658299	-.02369182	 .00120083	         .	  1.959964	         0	
woman:90._at	 -.0106752	 .00654338	-1.6314496	 .10279549	    -.0235	  .0021496	         .	  1.959964	         0	
woman:91._at	-.01010257	 .00674757	-1.4972163	 .13433698	-.02332755	 .00312242	         .	  1.959964	         0	
woman:92._at	 -.0095276	 .00696203	-1.3685078	 .17115318	-.02317293	 .00411774	         .	  1.959964	         0	
woman:93._at	 -.0089503	 .00718604	-1.2455124	 .21294347	-.02303468	 .00513408	         .	  1.959964	         0	
woman:94._at	 -.0083707	  .0074189	-1.1282938	 .25919585	-.02291147	 .00617008	         .	  1.959964	         0	
woman:95._at	-.00778879	 .00765996	 -1.016818	 .30924001	-.02280205	 .00722446	         .	  1.959964	         0	
